ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,facility_squash_court,facility_swimming_pool,facility_multipurpose_hall,facility_club_house,facility_10,facility_11,facility_tennis_court,facility_gymnasium,facility_parking,facility_minimart,facility_security,facility_lift,facility_jogging_track,facility_playground,facility_barbeque_area,facility_sauna,additional_,additional_cooking_allowed,additional_internet,additional_air-cond,additional_washing_machine,additional_near_ktm/lrt,price_per_sqft,property_age,size_category
100321936,Sri Putramas,2004.0,1600.0,Jalan Kuching,Condominium,3.0,1.0,2.0,1100.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1.4545454545454546,20.0,Large
100321976,Putra Villa,2007.0,1800.0,Setapak,Condominium,3.0,1.0,2.0,1066.0,Fully Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6885553470919326,17.0,Large
99627362,38 Bidara,2017.0,2100.0,KLCC,Condominium,2.0,1.0,2.0,706.0,Fully Furnished,Kuala Lumpur,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2.9745042492917846,7.0,Medium
99492392,3 Towers,2015.0,2500.0,Ampang Hilir,Condominium,2.0,1.0,1.0,890.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2.808988764044944,9.0,Medium
100036659,One Maxim,2020.0,1300.0,Sentul,Service Residence,2.0,1.0,2.0,650.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,2.0,4.0,Medium
99528357,Casa Mutiara,2007.0,2000.0,Bukit Bintang,Service Residence,2.0,1.0,2.0,742.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2.6954177897574123,17.0,Medium
100321885,Sofiya Residences,2017.0,2000.0,Desa ParkCity,Condominium,3.0,1.0,2.0,862.0,Fully Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,2.320185614849188,7.0,Medium
100273689,Laman Tasik,2002.0,2100.0,Cheras,Condominium,4.0,1.0,3.0,1300.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.6153846153846154,22.0,Large
100033999,Residensi Seri Wahyu @ Jalan Kuching KL,2017.0,1300.0,KL City,Apartment,3.0,1.0,2.0,805.0,Partially Furnished,Kuala Lumpur,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.6149068322981366,7.0,Medium
100033960,The Hamilton,2020.0,2600.0,Wangsa Maju,Condominium,4.0,2.0,2.0,1000.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2.6,4.0,Large
100321800,The Havre @ Bukit Jalil,2020.0,2500.0,Bukit Jalil,Condominium,3.0,2.0,2.0,1028.0,Fully Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2.431906614785992,4.0,Large
94858400,,2017.0,2000.0,Setapak,Condominium,4.0,1.0,2.0,940.0,Fully Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,2.127659574468085,7.0,Medium
93420010,,2017.0,1800.0,Setapak,Condominium,3.0,1.0,2.0,860.0,Fully Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,2.0930232558139537,7.0,Medium
86821569,,2017.0,1700.0,Jalan Kuching,Condominium,3.0,2.0,2.0,1100.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5454545454545454,7.0,Large
94858340,,2017.0,1600.0,Setapak,Condominium,4.0,1.0,2.0,914.0,Partially Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1.75054704595186,7.0,Medium
94861261,,2017.0,2000.0,Jalan Kuching,Condominium,3.0,2.0,2.0,1100.0,Fully Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1.8181818181818181,7.0,Large
94962913,,2017.0,1500.0,Kepong,Condominium,3.0,2.0,2.0,1100.0,Partially Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1.3636363636363635,7.0,Large
95481469,,2017.0,1700.0,Jalan Kuching,Condominium,3.0,2.0,2.0,1100.0,Partially Furnished,Kuala Lumpur,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1.5454545454545454,7.0,Large
95865588,,2017.0,1850.0,Kepong,Condominium,3.0,2.0,2.0,1100.0,Fully Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1.6818181818181819,7.0,Large
97361235,,2017.0,1700.0,Sentul,Condominium,4.0,2.0,3.0,1200.0,Partially Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1.4166666666666667,7.0,Large
97361227,,2017.0,1700.0,Jalan Ipoh,Service Residence,2.0,1.0,2.0,904.0,Fully Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1.8805309734513274,7.0,Medium
97407806,,2017.0,1800.0,Kepong,Condominium,4.0,2.0,2.0,1300.0,Partially Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1.3846153846153846,7.0,Large
100290798,M3 Residency,2017.0,1600.0,Setapak,Condominium,3.0,1.0,2.0,950.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6842105263157894,7.0,Medium
97406687,,2017.0,1600.0,Kepong,Condominium,3.0,2.0,2.0,1100.0,Partially Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1.4545454545454546,7.0,Large
100321689,Majestic Maxim,2021.0,1400.0,Cheras,Service Residence,2.0,2.0,2.0,650.0,Not Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,2.1538461538461537,3.0,Medium
100321678,D'Puncak Suasana,2017.0,1000.0,KLCC,Apartment,3.0,2.0,2.0,1000.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1.0,7.0,Large
100321609,Kaleidoscope,2017.0,2700.0,Setiawangsa,Condominium,3.0,1.0,2.0,1115.0,Partially Furnished,Kuala Lumpur,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2.42152466367713,7.0,Large
100321665,KL Traders Square Residences,2019.0,1400.0,Gombak,Service Residence,3.0,1.0,2.0,850.0,Not Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1.6470588235294117,5.0,Medium
100321664,Prisma Cheras,2017.0,1500.0,Cheras,Condominium,2.0,1.0,1.0,717.0,Fully Furnished,Kuala Lumpur,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2.092050209205021,7.0,Medium
100321580,Seasons Garden Residences @ Wangsa Maju,2017.0,1350.0,Wangsa Maju,Apartment,3.0,1.0,2.0,850.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.588235294117647,7.0,Medium
100321251,Maxim Citilights,2017.0,1300.0,Sentul,Service Residence,3.0,1.0,2.0,1150.0,Not Furnished,Kuala Lumpur,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1.1304347826086956,7.0,Large
99435019,PPA1M Bukit Jalil,2017.0,1300.0,Bukit Jalil,Apartment,3.0,1.0,2.0,1000.0,Not Furnished,Kuala Lumpur,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.3,7.0,Large
100235971,Taman Connaught,2017.0,900.0,Cheras,Apartment,2.0,1.0,1.0,550.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1.6363636363636365,7.0,Medium
100235642,Midah Ria,2017.0,1300.0,Cheras,Condominium,3.0,1.0,2.0,967.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1.344364012409514,7.0,Medium
99774637,Sri Kenangan,2017.0,2500.0,Wangsa Maju,Condominium,4.0,1.0,2.0,1184.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2.1114864864864864,7.0,Large
100321040,Faber Ria,1985.0,1300.0,Taman Desa,Condominium,2.0,1.0,2.0,1050.0,Partially Furnished,Kuala Lumpur,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1.2380952380952381,39.0,Large
23139697,Villa Wangsamas,2010.0,1700.0,Wangsa Maju,Condominium,3.0,1.0,3.0,1267.0,Partially Furnished,Kuala Lumpur,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1.3417521704814523,14.0,Large
16717632,Villa Wangsamas,2010.0,2000.0,Wangsa Maju,Condominium,3.0,1.0,3.0,1267.0,Fully Furnished,Kuala Lumpur,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1.5785319652722967,14.0,Large
99364321,The Capers,2017.0,2100.0,Sentul,Service Residence,2.0,1.0,2.0,999.0,Partially Furnished,Kuala Lumpur,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,2.1021021021021022,7.0,Medium
100321008,Central Residence @ Sg Besi,2015.0,1750.0,Sungai Besi,Condominium,3.0,2.0,2.0,1121.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1.5611061552185548,9.0,Large
100320875,Unio Residence,2021.0,2000.0,Kepong,Apartment,2.0,1.0,2.0,872.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,2.293577981651376,3.0,Medium
100320904,Dahlia Apartment (Ampang),2017.0,1300.0,Ampang,Apartment,3.0,1.0,2.0,860.0,Not Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1.5116279069767442,7.0,Medium
100320954,1 Petaling,2012.0,1100.0,Sungai Besi,Condominium,3.0,1.0,2.0,904.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1.2168141592920354,12.0,Medium
